IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,Value,NumericValue,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,Title,ParentDimension,ParentCode,ParentTitle
MALARIA_1STLINE_TREATED,COUNTRY,AGO,YEAR,2018,6 092 332,6092332.0,2022-02-10T13:20:16Z,2018,01-01-18,31-12-18,Angola,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,AGO,YEAR,2019,5 575 259,5575259.0,2022-02-10T13:20:17Z,2019,01-01-19,31-12-19,Angola,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,AGO,YEAR,2020,5 797 209,5797209.0,2022-02-10T13:20:18Z,2020,01-01-20,31-12-20,Angola,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,BDI,YEAR,2019,8 444 710,8444710.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Burundi,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,BDI,YEAR,2018,4 903 851,4903851.0,2022-02-10T13:20:17Z,2018,01-01-18,31-12-18,Burundi,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,BDI,YEAR,2020,4 289 288,4289288.0,2022-02-10T13:20:17Z,2020,01-01-20,31-12-20,Burundi,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,BEN,YEAR,2019,2 353 657,2353657.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Benin,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,BEN,YEAR,2020,2 095 303,2095303.0,2022-02-10T13:20:17Z,2020,01-01-20,31-12-20,Benin,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,BEN,YEAR,2018,340 062,340062.0,2022-02-10T13:20:18Z,2018,01-01-18,31-12-18,Benin,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,BFA,YEAR,2020,10 237 424,10237424.0,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20,Burkina Faso,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,BFA,YEAR,2018,10 807 674,10807674.0,2022-02-10T13:20:17Z,2018,01-01-18,31-12-18,Burkina Faso,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,BFA,YEAR,2019,11 223 002,11223002.0,2022-02-10T13:20:18Z,2019,01-01-19,31-12-19,Burkina Faso,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,BWA,YEAR,2019,272,272.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Botswana,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,BWA,YEAR,2020,953,953.0,2022-02-10T13:20:17Z,2020,01-01-20,31-12-20,Botswana,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,BWA,YEAR,2018,451,451.0,2022-02-10T13:20:17Z,2018,01-01-18,31-12-18,Botswana,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,CAF,YEAR,2019,2 654 215,2654215.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Central African Republic,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,CAF,YEAR,2020,1 980 804,1980804.0,2022-02-10T13:20:17Z,2020,01-01-20,31-12-20,Central African Republic,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,CAF,YEAR,2018,1 068 750,1068750.0,2022-02-10T13:20:18Z,2018,01-01-18,31-12-18,Central African Republic,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,CIV,YEAR,2019,5 200 350,5200350.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Côte d'Ivoire,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,CIV,YEAR,2018,4 871 874,4871874.0,2022-02-10T13:20:17Z,2018,01-01-18,31-12-18,Côte d'Ivoire,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,CIV,YEAR,2020,4 666 036,4666036.0,2022-02-10T13:20:18Z,2020,01-01-20,31-12-20,Côte d'Ivoire,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,CMR,YEAR,2019,1 834 114,1834114.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Cameroon,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,CMR,YEAR,2020,1 433 934,1433934.0,2022-02-10T13:20:17Z,2020,01-01-20,31-12-20,Cameroon,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,CMR,YEAR,2018,557 576,557576.0,2022-02-10T13:20:17Z,2018,01-01-18,31-12-18,Cameroon,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,COD,YEAR,2020,19 192 708,19192708.0,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20,Democratic Republic of the Congo,REGION,AFR,Africa
