IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,Value,NumericValue,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,Title,ParentDimension,ParentCode,ParentTitle
MALARIA_ITN_COVERAGE,COUNTRY,BEN,YEAR,2020,69.0,69.0,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Benin,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,BEN,YEAR,2019,30.5,30.5,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Benin,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,BEN,YEAR,2018,59.2,59.2,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Benin,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,CAF,YEAR,2019,75.2,75.2,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Central African Republic,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,CAF,YEAR,2020,67.6,67.6,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Central African Republic,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,CAF,YEAR,2018,76.7,76.7,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Central African Republic,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,CMR,YEAR,2019,69.4,69.4,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Cameroon,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,CMR,YEAR,2020,71.8,71.8,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Cameroon,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,CMR,YEAR,2018,63.2,63.2,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Cameroon,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,COD,YEAR,2020,62.8,62.8,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Democratic Republic of the Congo,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,COD,YEAR,2018,59.2,59.2,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18,Democratic Republic of the Congo,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,COD,YEAR,2019,64.7,64.7,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Democratic Republic of the Congo,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,ERI,YEAR,2020,41.3,41.3,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Eritrea,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,ERI,YEAR,2019,54.6,54.6,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Eritrea,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,ERI,YEAR,2018,61.6,61.6,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Eritrea,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GAB,YEAR,2018,16.9,16.9,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18,Gabon,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GAB,YEAR,2020,11.8,11.8,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Gabon,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GAB,YEAR,2019,15.8,15.8,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Gabon,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GHA,YEAR,2019,78.9,78.9,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Ghana,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GHA,YEAR,2020,56.5,56.5,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Ghana,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GHA,YEAR,2018,84.9,84.9,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18,Ghana,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GIN,YEAR,2020,74.7,74.7,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Guinea,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GIN,YEAR,2018,30.6,30.6,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18,Guinea,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GIN,YEAR,2019,69.6,69.6,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Guinea,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,KEN,YEAR,2020,36.9,36.9,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Kenya,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,KEN,YEAR,2019,58.9,58.9,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Kenya,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,KEN,YEAR,2018,69.6,69.6,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Kenya,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,MOZ,YEAR,2018,65.2,65.2,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18,Mozambique,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,MOZ,YEAR,2019,53.2,53.2,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Mozambique,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,MOZ,YEAR,2020,63.5,63.5,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Mozambique,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,MRT,YEAR,2018,44.6,44.6,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18,Mauritania,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,MRT,YEAR,2019,12.0,12.0,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Mauritania,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,MRT,YEAR,2020,40.0,40.0,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Mauritania,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,MWI,YEAR,2018,73.1,73.1,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18,Malawi,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,MWI,YEAR,2019,71.5,71.5,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Malawi,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,MWI,YEAR,2020,42.3,42.3,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Malawi,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,NER,YEAR,2018,74.8,74.8,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18,Niger,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,NER,YEAR,2019,76.3,76.3,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Niger,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,NER,YEAR,2020,82.9,82.9,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Niger,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,SEN,YEAR,2018,48.2,48.2,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18,Senegal,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,SEN,YEAR,2019,73.4,73.4,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Senegal,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,SEN,YEAR,2020,76.3,76.3,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Senegal,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,SLE,YEAR,2019,49.9,49.9,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Sierra Leone,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,SLE,YEAR,2020,67.3,67.3,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Sierra Leone,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,SLE,YEAR,2018,69.0,69.0,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Sierra Leone,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,SSD,YEAR,2018,42.3,42.3,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18,South Sudan,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,SSD,YEAR,2019,36.0,36.0,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,South Sudan,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,SSD,YEAR,2020,48.0,48.0,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,South Sudan,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,TCD,YEAR,2018,48.0,48.0,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18,Chad,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,TCD,YEAR,2019,18.5,18.5,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Chad,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,TCD,YEAR,2020,47.6,47.6,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Chad,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,TGO,YEAR,2019,66.1,66.1,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Togo,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,TGO,YEAR,2020,83.1,83.1,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Togo,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,TGO,YEAR,2018,79.1,79.1,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Togo,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,TZA,YEAR,2020,53.4,53.4,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,United Republic of Tanzania,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,TZA,YEAR,2019,54.4,54.4,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,United Republic of Tanzania,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,TZA,YEAR,2018,58.6,58.6,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,United Republic of Tanzania,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,ZMB,YEAR,2019,48.7,48.7,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Zambia,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,ZMB,YEAR,2020,34.4,34.4,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Zambia,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,ZMB,YEAR,2018,64.4,64.4,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Zambia,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,ZWE,YEAR,2018,36.8,36.8,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18,Zimbabwe,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,ZWE,YEAR,2019,37.3,37.3,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Zimbabwe,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,ZWE,YEAR,2020,37.5,37.5,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Zimbabwe,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,DJI,YEAR,2020,6.9,6.9,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Djibouti,REGION,EMR,Eastern Mediterranean
MALARIA_ITN_COVERAGE,COUNTRY,DJI,YEAR,2018,31.8,31.8,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Djibouti,REGION,EMR,Eastern Mediterranean
MALARIA_ITN_COVERAGE,COUNTRY,DJI,YEAR,2019,20.5,20.5,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Djibouti,REGION,EMR,Eastern Mediterranean
MALARIA_ITN_COVERAGE,COUNTRY,SDN,YEAR,2019,58.3,58.3,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Sudan,REGION,EMR,Eastern Mediterranean
MALARIA_ITN_COVERAGE,COUNTRY,SDN,YEAR,2020,56.0,56.0,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Sudan,REGION,EMR,Eastern Mediterranean
MALARIA_ITN_COVERAGE,COUNTRY,SDN,YEAR,2018,61.9,61.9,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Sudan,REGION,EMR,Eastern Mediterranean
MALARIA_ITN_COVERAGE,COUNTRY,BDI,YEAR,2019,50.5,50.5,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Burundi,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,BDI,YEAR,2018,71.4,71.4,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Burundi,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,BDI,YEAR,2020,64.5,64.5,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Burundi,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,BFA,YEAR,2020,68.3,68.3,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Burkina Faso,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,BFA,YEAR,2019,66.4,66.4,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Burkina Faso,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,BFA,YEAR,2018,49.2,49.2,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Burkina Faso,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,CIV,YEAR,2020,49.0,49.0,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Côte d'Ivoire,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,CIV,YEAR,2018,74.4,74.4,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Côte d'Ivoire,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,CIV,YEAR,2019,60.4,60.4,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Côte d'Ivoire,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,COG,YEAR,2020,84.0,84.0,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Congo,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,COG,YEAR,2018,32.1,32.1,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Congo,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,COG,YEAR,2019,73.2,73.2,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Congo,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,COM,YEAR,2018,67.4,67.4,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18,Comoros,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,COM,YEAR,2019,48.1,48.1,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Comoros,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,COM,YEAR,2020,70.9,70.9,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Comoros,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,ETH,YEAR,2019,25.5,25.5,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Ethiopia,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,ETH,YEAR,2018,18.9,18.9,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Ethiopia,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,ETH,YEAR,2020,23.7,23.7,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Ethiopia,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GMB,YEAR,2019,64.0,64.0,2022-02-10T13:10:40Z,2019,01-01-19,31-12-19,Gambia,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GMB,YEAR,2020,48.7,48.7,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Gambia,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GMB,YEAR,2018,61.4,61.4,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Gambia,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GNB,YEAR,2020,18.8,18.8,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Guinea-Bissau,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GNB,YEAR,2018,64.8,64.8,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Guinea-Bissau,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GNB,YEAR,2019,40.6,40.6,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Guinea-Bissau,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GNQ,YEAR,2018,46.4,46.4,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18,Equatorial Guinea,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GNQ,YEAR,2019,45.5,45.5,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Equatorial Guinea,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,GNQ,YEAR,2020,35.5,35.5,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Equatorial Guinea,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,LBR,YEAR,2020,23.8,23.8,2022-02-10T13:10:40Z,2020,01-01-20,31-12-20,Liberia,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,LBR,YEAR,2018,50.2,50.2,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Liberia,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,LBR,YEAR,2019,61.5,61.5,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Liberia,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,MDG,YEAR,2018,61.7,61.7,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18,Madagascar,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,MDG,YEAR,2019,68.3,68.3,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Madagascar,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,MDG,YEAR,2020,46.1,46.1,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Madagascar,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,MLI,YEAR,2018,67.4,67.4,2022-02-10T13:10:40Z,2018,01-01-18,31-12-18,Mali,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,MLI,YEAR,2019,74.2,74.2,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Mali,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,MLI,YEAR,2020,83.1,83.1,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Mali,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,NGA,YEAR,2019,48.3,48.3,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Nigeria,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,NGA,YEAR,2020,41.9,41.9,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Nigeria,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,NGA,YEAR,2018,50.3,50.3,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Nigeria,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,RWA,YEAR,2020,59.3,59.3,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Rwanda,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,RWA,YEAR,2018,53.7,53.7,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Rwanda,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,RWA,YEAR,2019,36.9,36.9,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Rwanda,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,UGA,YEAR,2020,69.0,69.0,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Uganda,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,UGA,YEAR,2018,80.2,80.2,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Uganda,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,UGA,YEAR,2019,60.7,60.7,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Uganda,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,SOM,YEAR,2020,19.3,19.3,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Somalia,REGION,EMR,Eastern Mediterranean
MALARIA_ITN_COVERAGE,COUNTRY,SOM,YEAR,2019,18.3,18.3,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Somalia,REGION,EMR,Eastern Mediterranean
MALARIA_ITN_COVERAGE,COUNTRY,SOM,YEAR,2018,22.5,22.5,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Somalia,REGION,EMR,Eastern Mediterranean
MALARIA_ITN_COVERAGE,COUNTRY,AGO,YEAR,2020,14.1,14.1,2022-02-10T13:10:41Z,2020,01-01-20,31-12-20,Angola,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,AGO,YEAR,2018,52.5,52.5,2022-02-10T13:10:41Z,2018,01-01-18,31-12-18,Angola,REGION,AFR,Africa
MALARIA_ITN_COVERAGE,COUNTRY,AGO,YEAR,2019,27.2,27.2,2022-02-10T13:10:41Z,2019,01-01-19,31-12-19,Angola,REGION,AFR,Africa
